"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_2027_1","2_1046_20250316","1046_1101024_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2111824_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2110534_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1101124_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1110813_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1101134_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2100934_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1047_20250316","1047_2110224_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1110613_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1101623_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1102324_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1104017_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2027_1","2_1046_20250316","1046_1102115_20250316","大学病院",,,,"2_2027_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1113115_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1100722_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1102922_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1112522_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1111415_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1101622_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1047_20250316","1047_2113622_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1103722_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1111642_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1112242_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1046_20250316","1046_1110232_20250316","岡電高屋",,,,"2_2028_1",,,"2"
"10006_2007_1","2_1046_20250316","1046_1101614_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1046_20250316","1046_1112635_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1046_20250316","1046_1104016_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1047_20250316","1047_2112035_20250316","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1047_20250316","1047_2111435_20250316","岡電高屋",,,,"2_2007_1",,,"2"
